K04D0012_H0011:1b-0	@1b [dd] *//	[dd]_4 
K04D0012_H0011:73a-4	tshul khrims kyi pha rol tu phyin pa'i ma lags /	tshul_0 khrims_6 kyi_13 pha_17 rol_21 tu_25 phyin_28 ba_34 ma_39 lags_42 
K04D0012_H0011:73a-5	bzod pa'i pha rol tu phyin pa'i ma lags /	bzod_0 ba_5 pha_10 rol_14 tu_18 phyin_21 ba_27 ma_32 lags_35 
K04D0012_H0011:73a-6	brtson 'grus kyi pha rol tu phyin pa'i ma lags /	brtson_0 'grus_7 kyi_13 pha_17 rol_21 tu_25 phyin_28 ba_34 ma_39 lags_42 
K04D0012_H0011:73a-7	bcom ldan 'das ni /	'joms_0 ldan_5 'da'_10 ni_15 
K04D0012_H0011:73a-8	bsam gtan gyi pha rol tu phyin pa'i bsngags pa mi gsung zhing ming yongs su mi sgrogs gi /	bsam_0 gtan_5 gyi_10 pha_14 rol_18 tu_22 phyin_25 ba_31 bsngags_36 ba_44 mi_47 gsung_50 zhing_56 ming_62 yongs_67 su_73 mi_76 sgrogs_79 gi_86 
K04D0012_H0011:73a-9	'on kyang bcom ldan 'das ni /	'on_0 kyang_4 'joms_10 ldan_15 'da'_20 ni_25 
K04D0012_H0011:73a-10	shes rab kyi pha rol tu phyin pa gcig pu nyid kyi bsngags pa yongs su gsung ba dang /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 gcig_33 pu_38 nyid_41 kyi_46 bsngags_50 ba_58 yongs_61 su_67 gsung_70 ba_76 dang_79 
K04D0012_H0011:73a-11	ming yongs su sgrog par mdzad do //	ming_0 yongs_5 su_11 sgrog_14 ba_20 mdzad_24 do_30 
K04D0012_H0011:73a-12	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:73a-13	de de bzhin no //	de_0 de_3 bzhin_6 no_12 
K04D0012_H0011:73a-14	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73a-15	de de bzhin te /	de_0 de_3 bzhin_6 te_12 
K04D0012_H0011:73a-16	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73a-17	nga ni /	nga_0 ni_4 
K04D0012_H0011:73a-18	shes rab kyi pha rol tu phyin pa kho na'i bsngags pa smra ba dang /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 kho_33 na_37 bsngags_42 ba_50 smra_53 ba_58 dang_61 
K04D0012_H0011:73a-19	ming yongs su sgrog gi /	ming_0 yongs_5 su_11 sgrog_14 gi_20 
K04D0012_H0011:73a-20	pha rol tu phyin pa gzhan gyi ni /	pha_0 rol_4 tu_8 phyin_11 ba_17 gzhan_20 gyi_26 ni_30 
K04D0012_H0011:73a-21	ma yin no //	ma_0 yin_3 no_7 
K04D0012_H0011:73a-22	de ci'i phyir zhe na /	de_0 ci_3 phyir_8 zhe_14 na_18 
K04D0012_H0011:73a-23	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73a-24	shes rab kyi pha rol tu phyin pa ni /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 ni_33 
K04D0012_H0011:73a-25	pha rol tu phyin pa lnga po rnams kyi sngon du 'gro ba ste /	pha_0 rol_4 tu_8 phyin_11 ba_17 lnga_20 po_25 rnams_28 kyi_34 sngon_38 du_44 'gro_47 ba_52 ste_55 
K04D0012_H0011:73a-26	des na /	des_0 na_4 
K04D0012_H0011:73a-27	pha rol tu phyin pa'i ming 'thob bo //	pha_0 rol_4 tu_8 phyin_11 ba_17 ming_22 'thob_27 'bo_33 
K04D0012_H0011:73a-28	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73a-29	de ji snyam du sems /	de_0 ji_3 snyam_6 du_12 sems_15 
K04D0012_H0011:73a-30	thams cad mkhyen pa nyid du yongs su ma bsngos	thams_0 cad_6 mkhyen_10 ba_17 nyid_20 du_25 yongs_28 su_34 ma_37 sngo_40 
K04D0012_H0011:73a-31	pa'i sbyin pas sbyin pa'i pha rol tu phyin pa	ba_0 sbyin_5 ba_11 sbyin_15 ba_21 pha_26 rol_30 tu_34 phyin_37 ba_43 
K04D0012_H0011:73a-32	zhes bya ba'i ming 'thob par 'gyur ram /	zhes_0 byed_5 ba_9 ming_14 'thob_19 ba_25 'gyur_29 ram_35 
K04D0012_H0011:73b-0	kun dga' bos @73b gsol pa /	kun_0 dga'_4 'bod_9 gsol_18 ba_23 
K04D0012_H0011:73b-1	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:73b-2	de ni /	de_0 ni_3 
K04D0012_H0011:73b-3	ma lags so //	ma_0 lags_3 so_8 
K04D0012_H0011:73b-4	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:73b-5	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73b-6	de ji snyam du sems /	de_0 ji_3 snyam_6 du_12 sems_15 
K04D0012_H0011:73b-7	de bzhin du yongs su ma bsngos pa'i tshul khrims dang /	de_0 bzhin_3 du_9 yongs_12 su_18 ma_21 sngo_24 ba_31 tshul_36 khrims_42 dang_49 
K04D0012_H0011:73b-8	yongs su ma bsngos pa'i bzod pa dang /	yongs_0 su_6 ma_9 sngo_12 ba_19 bzod_24 ba_29 dang_32 
K04D0012_H0011:73b-9	yongs su ma bsngos pa'i brtson 'grus dang /	yongs_0 su_6 ma_9 sngo_12 ba_19 brtson_24 'grus_31 dang_37 
K04D0012_H0011:73b-10	yongs su ma bsngos pa'i bsam gtan rnams dang /	yongs_0 su_6 ma_9 sngo_12 ba_19 bsam_24 gtan_29 rnams_34 dang_40 
K04D0012_H0011:73b-11	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73b-12	'di ji snyam du sems /	'di_0 ji_4 snyam_7 du_13 sems_16 
K04D0012_H0011:73b-13	thams cad mkhyen pa nyid du yongs su ma bsngos	thams_0 cad_6 mkhyen_10 ba_17 nyid_20 du_25 yongs_28 su_34 ma_37 sngo_40 
K04D0012_H0011:73b-14	pa'i shes rab kyis shes rab kyi pha rol tu	ba_0 shes_5 rab_10 kyis_14 shes_19 rab_24 kyi_28 pha_32 rol_36 tu_40 
K04D0012_H0011:73b-15	phyin pa zhes bya ba'i ming 'thob par 'gyur ram	phyin_0 ba_6 zhes_9 byed_14 ba_18 ming_23 'thob_28 ba_34 'gyur_38 ram_44 
K04D0012_H0011:73b-16	/ kun dga' bos gsol pa; bcom ldan 'das /	kun_2 dga'_6 'bod_11 gsol_15 pa;_20 'joms_24 ldan_29 'da'_34 
K04D0012_H0011:73b-17	de ni /	de_0 ni_3 
K04D0012_H0011:73b-18	ma lags so //	ma_0 lags_3 so_8 
K04D0012_H0011:73b-19	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:73b-20	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73b-21	'di ji snyam du sems /	'di_0 ji_4 snyam_7 du_13 sems_16 
K04D0012_H0011:73b-22	dge ba'i rtsa pa rnams thams cad mkhyen pa nyid	dge_0 ba_4 rtsa_9 ba_14 rnams_17 thams_23 cad_29 mkhyen_33 ba_40 nyid_43 
K04D0012_H0011:73b-23	du yongs su bsngo bas yongs su sngo bar byed	du_0 yongs_3 su_9 sngo_12 ba_18 yongs_22 su_28 sngo_31 ba_36 byed_40 
K04D0012_H0011:73b-24	pa'i shes rab gang yin pa de bsam gyis mi	ba_0 shes_5 rab_10 gang_14 yin_19 ba_23 de_26 bsam_29 gyis_34 mi_39 
K04D0012_H0011:73b-25	khyab pa yin nam /	khyab_0 ba_6 yin_9 nam_13 
K04D0012_H0011:73b-26	kun dga' bos gsol pa /	kun_0 dga'_4 'bod_9 gsol_13 ba_18 
K04D0012_H0011:73b-27	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:73b-28	de de bzhin te /	de_0 de_3 bzhin_6 te_12 
K04D0012_H0011:73b-29	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:73b-30	dge ba'i rtsa ba rnams thams cad mkhyen pa nyid	dge_0 ba_4 rtsa_9 ba_14 rnams_17 thams_23 cad_29 mkhyen_33 ba_40 nyid_43 
K04D0012_H0011:73b-31	du yongs su bsngo bas yongs su sngo bar byed	du_0 yongs_3 su_9 sngo_12 ba_18 yongs_22 su_28 sngo_31 ba_36 byed_40 
K04D0012_H0011:73b-32	pa'i shes rab gang lags pa de ni /	ba_0 shes_5 rab_10 gang_14 lags_19 ba_24 de_27 ni_30 
K04D0012_H0011:73b-33	bsam gyis mi khyab pa'o //	bsam_0 gyis_5 mi_10 khyab_13 ba_19 
K04D0012_H0011:73b-34	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:73b-35	de ni /	de_0 ni_3 
K04D0012_H0011:73b-36	mchog tu bsam gyis mi khyab bo //	mchog_0 tu_6 bsam_9 gyis_14 mi_19 khyab_22 'bo_28 
K04D0012_H0011:73b-37	bcom ldan 'das kyis bka' stsal pa /	'joms_0 ldan_5 'da'_10 kyis_15 bka'_20 stsal_25 ba_31 
K04D0012_H0011:73b-38	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:73b-39	de lta bas na /	de_0 lta_3 ba_7 na_11 
K04D0012_H0011:73b-40	de ltar dam pa yin pa'i phyir de ni /	de_0 ltar_3 dam_8 ba_12 yin_15 ba_19 phyir_24 de_30 ni_33 
K04D0012_H0011:74a-0	shes @74a *//	shes_0 
K04D0012_H0011:74a-1	rab kyi pha rol tu phyin pa zhes bya ba'i ming 'thob par 'gyur te /	rab_0 kyi_4 pha_8 rol_12 tu_16 phyin_19 ba_25 zhes_28 byed_33 ba_37 ming_42 'thob_47 ba_53 'gyur_57 te_63 
K04D0012_H0011:74a-2	gang gis dge ba'i rtsa ba thams cad mkhyen pa	gang_0 gis_5 dge_9 ba_13 rtsa_18 ba_23 thams_26 cad_32 mkhyen_36 ba_43 
K04D0012_H0011:74a-3	nyid du yongs su bsngos pa rnams pha rol tu	nyid_0 du_5 yongs_8 su_14 sngo_17 ba_24 rnams_27 pha_33 rol_37 tu_41 
K04D0012_H0011:74a-4	phyin pa'i ming 'thob bo //	phyin_0 ba_6 ming_11 'thob_16 'bo_22 
K04D0012_H0011:74a-5	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:74a-6	de lta bas na /	de_0 lta_3 ba_7 na_11 
K04D0012_H0011:74a-7	dge ba'i rtsa ba rnams thams cad mkhyen pa nyid	dge_0 ba_4 rtsa_9 ba_14 rnams_17 thams_23 cad_29 mkhyen_33 ba_40 nyid_43 
K04D0012_H0011:74a-8	du yongs su bsngos pa'i phyir shes rab kyi pha	du_0 yongs_3 su_9 sngo_12 ba_19 phyir_24 shes_30 rab_35 kyi_39 pha_43 
K04D0012_H0011:74a-9	rol tu phyin pa ni /	rol_0 tu_4 phyin_7 ba_13 ni_16 
K04D0012_H0011:74a-10	pha rol tu phyin pa lnga'i sngon du 'gro zhing 'dren pa yongs su 'dren pa'o //	pha_0 rol_4 tu_8 phyin_11 ba_17 lnga_20 sngon_27 du_33 'gro_36 zhing_41 bgrang_47 ba_53 yongs_56 su_62 bgrang_65 ba_71 
K04D0012_H0011:74a-11	tshul 'dis pha rol tu phyin pa lnga ni /	tshul_0 'dis_6 pha_11 rol_15 tu_19 phyin_22 ba_28 lnga_31 ni_36 
K04D0012_H0011:74a-12	shes rab kyi pha rol tu phyin pa kho na'i nang du 'dus so //	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 kho_33 na_37 nang_42 du_47 'du_50 so_55 
K04D0012_H0011:74a-13	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:74a-14	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:74a-15	shes rab kyi pha rol tu phyin pa zhes bya ba ni /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 zhes_33 byed_38 ba_42 ni_45 
K04D0012_H0011:74a-16	pha rol tu phyin pa drug yongs su rdzogs pa'i tshig bla dvags so //	pha_0 rol_4 tu_8 phyin_11 ba_17 drug_20 yongs_25 su_31 rdzogs_34 ba_41 tshig_46 bla_52 dvags_56 so_62 
K04D0012_H0011:74a-17	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:74a-18	de lta bas na /	de_0 lta_3 ba_7 na_11 
K04D0012_H0011:74a-19	shes rab kyi pha rol tu phyin pa yongs su bsgrags na /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 yongs_33 su_39 sgrog_42 na_50 
K04D0012_H0011:74a-20	pha rol tu phyin pa drug po thams cad yongs su bsgrags par 'gyur ro //	pha_0 rol_4 tu_8 phyin_11 ba_17 drug_20 po_25 thams_28 cad_34 yongs_38 su_44 sgrog_47 ba_55 'gyur_59 ro_65 
K04D0012_H0011:74a-21	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:74a-22	'di lta ste /	'di_0 lta_4 ste_8 
K04D0012_H0011:74a-23	dper na /	dper_0 na_5 
K04D0012_H0011:74a-24	sa chen po la sa bon btab pa tshogs pa dang phrad na skye bar 'gyur te /	sa_0 chen_3 po_8 la_11 sa_14 bon_17 'debs_21 ba_26 tshogs_29 ba_36 dang_39 'phrad_44 na_50 skye_53 ba_58 'gyur_62 te_68 
K04D0012_H0011:74a-25	sa chen po ni /	sa_0 chen_3 po_8 ni_11 
K04D0012_H0011:74a-26	sa bon de dag gi gzhi yin pas sa chen	sa_0 bon_3 de_7 'dag_10 gi_14 gzhi_17 yin_22 ba_26 sa_30 chen_33 
K04D0012_H0011:74a-27	po la brten nas sa bon de dag skye bar	po_0 la_3 rten_6 nas_12 sa_16 bon_19 de_23 'dag_26 skye_30 ba_35 
K04D0012_H0011:74a-28	'gyur ro // kun dga' bo /	'gyur_0 ro_6 kun_12 dga'_16 'bo_21 
K04D0012_H0011:74a-29	de bzhin du pha rol tu phyin pa lnga ni /	de_0 bzhin_3 du_9 pha_12 rol_16 tu_20 phyin_23 ba_29 lnga_32 ni_37 
K04D0012_H0011:74a-30	shes rab kyi pha rol tu phyin pas yang dag	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 yang_34 'dag_39 
K04D0012_H0011:74a-31	par bzung bas thams cad mkhyen pa nyid la brten	ba_0 bzung_4 ba_10 thams_14 cad_20 mkhyen_24 ba_31 nyid_34 la_39 rten_42 
K04D0012_H0011:74a-32	pa yin te / shes rab kyi pha rol tu	ba_0 yin_3 te_7 shes_12 rab_17 kyi_21 pha_25 rol_29 tu_33 
K04D0012_H0011:74b-0	phyin pa la brten nas pha rol tu @74b phyin	phyin_0 ba_6 la_9 rten_12 nas_18 pha_22 rol_26 tu_30 phyin_38 
K04D0012_H0011:74b-1	pa lnga skye bar 'gyur ro //	ba_0 lnga_3 skye_8 ba_13 'gyur_17 ro_23 
K04D0012_H0011:74b-2	shes rab kyi pha rol tu phyin pas yongs su	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 yongs_34 su_40 
K04D0012_H0011:74b-3	bzung ba'i phyir pha rol tu phyin pa zhes bya	bzung_0 ba_6 phyir_11 pha_17 rol_21 tu_25 phyin_28 ba_34 zhes_37 byed_42 
K04D0012_H0011:74b-4	ba'i ming 'thob par 'gyur ro //	ba_0 ming_5 'thob_10 ba_16 'gyur_20 ro_26 
K04D0012_H0011:74b-5	kun dga' bo /	kun_0 dga'_4 'bo_9 
K04D0012_H0011:74b-6	de lta bas na /	de_0 lta_3 ba_7 na_11 
K04D0012_H0011:74b-7	shes rab kyi pha rol tu phyin pa 'di nyid	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 'di_33 nyid_37 
K04D0012_H0011:74b-8	pha rol tu phyin pa lnga'i sngon du 'gro zhing	pha_0 rol_4 tu_8 phyin_11 ba_17 lnga_20 sngon_27 du_33 'gro_36 zhing_41 
K04D0012_H0011:74b-9	'dren pa yongs su 'dren pa'o //	bgrang_0 ba_6 yongs_9 su_15 bgrang_18 ba_24 
K04D0012_H0011:74b-10	de nas bcom lhan 'das la lha rnams kyi dbang po brgya byin gyis 'di skad ces gsol to //	de_0 nas_3 'joms_7 lhan_12 'da'_17 la_22 lha_25 rnams_29 kyi_35 dbang_39 po_45 brgya_48 byin_54 gyis_59 'di_64 skad_68 ces_73 gsol_77 to_82 
K04D0012_H0011:74b-11	bcom ldan 'das /	'joms_0 ldan_5 'da'_10 
K04D0012_H0011:74b-12	re shig shes rab kyi pha rol tu phyin pa bzung zhing bcangs pa dang /	re_0 shig_3 shes_8 rab_13 kyi_17 pha_21 rol_25 tu_29 phyin_32 ba_38 bzung_41 zhing_47 'chang_53 ba_60 dang_63 
K04D0012_H0011:74b-13	bklags pa dang /	bklags_0 ba_7 dang_10 
K04D0012_H0011:74b-14	kun chub par bgyis pa dang /	kun_0 chub_4 ba_9 bgyid_13 ba_19 dang_22 
K04D0012_H0011:74b-15	rab tu bton pa dang /	rab_0 tu_4 'don_7 ba_12 dang_15 
K04D0012_H0011:74b-16	bstan pa dang /	ston_0 ba_6 dang_9 
K04D0012_H0011:74b-17	nye bar bstan pa dang /	nye_0 ba_4 ston_8 ba_14 dang_17 
K04D0012_H0011:74b-18	lung phog pa dang /	lung_0 'bogs_5 ba_10 dang_13 
K04D0012_H0011:74b-19	kha ton du bgyis pas rigs kyi bu'am rigs kyi	kha_0 ton_4 du_8 bgyid_11 ba_17 rigs_21 kyi_26 bu_30 rigs_36 kyi_41 
K04D0012_H0011:74b-20	bu mos yon tan gang dag yongs su 'dzin par	bu_0 mos_3 yon_7 tan_11 gang_15 'dag_20 yongs_24 su_30 'dzin_33 ba_39 
K04D0012_H0011:74b-21	'gyur pa shes rab kyi pha rol tu phyin pa'i	'gyur_0 ba_6 shes_9 rab_14 kyi_18 pha_22 rol_26 tu_30 phyin_33 ba_39 
K04D0012_H0011:74b-22	yon tan 'di dag thams cad de bzhin gshegs pa	yon_0 tan_4 'di_8 'dag_12 thams_16 cad_22 de_26 bzhin_29 gshegs_35 ba_42 
K04D0012_H0011:74b-23	dgra bcom pa yang dag par rdzogs pa'i sangs rgyas	dgra_0 'joms_5 ba_10 yang_13 'dag_18 ba_22 rdzogs_26 ba_33 sangs_38 rgya_44 
K04D0012_H0011:74b-24	kyis yongs su bsgrags pa ni /	kyis_0 yongs_5 su_11 sgrog_14 ba_22 ni_25 
K04D0012_H0011:74b-25	ma lags te /	ma_0 lags_3 te_8 
K04D0012_H0011:74b-26	'on kyang gang zhig bdag gis bcom ldan 'das kyi	'on_0 kyang_4 gang_10 'jig_15 bdag_20 gis_25 'joms_29 ldan_34 'da'_39 kyi_44 
K04D0012_H0011:74b-27	thad nas shes rab kyi pha rol tu phyin pa	thad_0 nas_5 shes_9 rab_14 kyi_18 pha_22 rol_26 tu_30 phyin_33 ba_39 
K04D0012_H0011:74b-28	'di'i phyogs gcig bzung zhing rab tu bton pa lags	'di_0 phyogs_6 gcig_13 bzung_18 zhing_24 rab_30 tu_34 'don_37 ba_42 lags_45 
K04D0012_H0011:74b-29	so // bcom ldan 'das kyis bka' stsal pa; koo shi ka /	so_0 'joms_6 ldan_11 'da'_16 kyis_21 bka'_26 stsal_31 pa;_37 koo_41 'chi_45 ka_49 
K04D0012_H0011:74b-30	legs so /	legs_0 so_5 
K04D0012_H0011:74b-31	legs so //	legs_0 so_5 
K04D0012_H0011:74b-32	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:74b-33	gang shes rab kyi pha rol tu phyin pa 'di 'dzin pa dang /	gang_0 shes_5 rab_10 kyi_14 pha_18 rol_22 tu_26 phyin_29 ba_35 'di_38 'dzin_42 ba_48 dang_51 
K04D0012_H0011:74b-34	'chang ba dang /	'chang_0 ba_7 dang_10 
K04D0012_H0011:74b-35	klog pa dang /	klog_0 ba_5 dang_8 
K04D0012_H0011:74b-36	kun chub par byed pa dang /	kun_0 chub_4 ba_9 byed_13 ba_18 dang_21 
K04D0012_H0011:75a-0	rab tu 'don pa @75a *//	rab_0 tu_4 'don_7 ba_12 
K04D0012_H0011:75a-1	dang /	dang_0 
K04D0012_H0011:75a-2	ston pa dang /	ston_0 ba_5 dang_8 
K04D0012_H0011:75a-3	nye bar ston pa dang /	nye_0 ba_4 ston_8 ba_13 dang_16 
K04D0012_H0011:75a-4	lung 'bogs pa dang /	lung_0 'bogs_5 ba_11 dang_14 
K04D0012_H0011:75a-5	kha ton byed pa de dag nyid 'ba' zhig la	kha_0 ton_4 byed_8 ba_13 de_16 'dag_19 nyid_23 'ba'_28 'jig_33 la_38 
K04D0012_H0011:75a-6	yon tan 'di dag 'byung ba 'ba' zhig tu ni	yon_0 tan_4 'di_8 'dag_12 'byung_16 ba_23 'ba'_26 'jig_31 tu_36 ni_39 
K04D0012_H0011:75a-7	/ ma zad kyi; koo shi ka /	ma_2 zad_5 kyi;_9 koo_14 'chi_18 ka_22 
K04D0012_H0011:75a-8	rigs kyi bu'am rigs kyi bu mo gang gis sangs rgyas kyi tshul rgyun chad par ma gyur cig /	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 gang_30 gis_35 sangs_39 rgya_45 kyi_51 tshul_55 rgyun_61 'chad_67 ba_72 ma_76 gyur_79 cig_84 
K04D0012_H0011:75a-9	dam pa'i chos nub par ma gyur cig /	dam_0 ba_4 chos_9 nub_14 ba_18 ma_22 gyur_25 cig_30 
K04D0012_H0011:75a-10	ces dam pa'i chos yun ring du gnas par bya ba dang /	ces_0 dam_4 ba_8 chos_13 yun_18 ring_22 du_27 gnas_30 ba_35 byed_39 ba_43 dang_46 
K04D0012_H0011:75a-11	tshul dang ma bral bas byang chub sems dpa' sems	tshul_0 dang_6 ma_11 'bral_14 ba_19 byang_23 chub_29 sems_34 dpa'_39 sems_44 
K04D0012_H0011:75a-12	dpa' chen po rnams la phan gdags pa bsgrub pa	dpa'_0 chen_5 po_10 rnams_13 la_19 phan_22 'dogs_27 ba_33 sgrub_36 ba_43 
K04D0012_H0011:75a-13	byas par 'gyur bar shes rab kyi pha rol tu	byed_0 ba_5 'gyur_9 ba_15 shes_19 rab_24 kyi_28 pha_32 rol_36 tu_40 
K04D0012_H0011:75a-14	phyin pa 'di bris nas glegs bam du chud par	phyin_0 ba_6 'di_9 'bri_13 nas_18 glegs_22 bam_28 du_32 chud_35 ba_40 
K04D0012_H0011:75a-15	byas te 'chang ngam bzhag la /	byed_0 te_5 'chang_8 ngam_15 'jog_20 la_26 
K04D0012_H0011:75a-16	shes rab kyi pha rol tu phyin pa de la me tog dang /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 de_33 la_36 me_39 tog_42 dang_46 
K04D0012_H0011:75a-17	bdug pa dang /	bdug_0 ba_5 dang_8 
K04D0012_H0011:75a-18	dri dang /	'dri_0 dang_4 
K04D0012_H0011:75a-19	phreng ba dang /	phreng_0 ba_7 dang_10 
K04D0012_H0011:75a-20	byug pa dang /	'byug_0 ba_5 dang_8 
K04D0012_H0011:75a-21	phye ma dang /	'byed_0 ma_5 dang_8 
K04D0012_H0011:75a-22	na bza' dang /	na_0 bza'_3 dang_8 
K04D0012_H0011:75a-23	gdugs dang /	gdugs_0 dang_6 
K04D0012_H0011:75a-24	rgyal mtshan dang /	rgyal_0 mtshan_6 dang_13 
K04D0012_H0011:75a-25	dril bu dang /	'dril_0 bu_5 dang_8 
K04D0012_H0011:75a-26	ba dan dag dang /	ba_0 dan_3 'dag_7 dang_11 
K04D0012_H0011:75a-27	kho ra yug tu mar me'i phreng ba dag dang /	kho_0 ra_4 yug_7 tu_11 mar_14 me_18 phreng_23 ba_30 'dag_33 dang_37 
K04D0012_H0011:75a-28	mchod pa rnam pa mang po dag gis mchod par byed de /	mchod_0 ba_6 rnam_9 ba_14 mang_17 po_22 'dag_25 gis_29 mchod_33 ba_39 byed_43 de_48 
K04D0012_H0011:75a-29	bkur stir byed /	bkur_0 stir_5 byed_10 
K04D0012_H0011:75a-30	bla mar byed /	bla_0 mar_4 byed_8 
K04D0012_H0011:75a-31	rjed par byed /	rjed_0 ba_5 byed_9 
K04D0012_H0011:75a-32	mchod par byed /	mchod_0 ba_6 byed_10 
K04D0012_H0011:75a-33	ri mor byed /	ri_0 mor_3 byed_7 
K04D0012_H0011:75a-34	bsnyen bkur byed na /	snyen_0 bkur_7 byed_12 na_17 
K04D0012_H0011:75a-35	koo shi ka /	koo_0 'chi_4 ka_8 
K04D0012_H0011:75a-36	rigs kyi bu'am rigs kyi bu mo de'i yang tshe	rigs_0 kyi_5 bu_9 rigs_15 kyi_20 bu_24 mo_27 de_30 yang_35 tshe_40 
K04D0012_H0011:75a-37	'di nyid kyi yon tan ngas bshad pa yin no	'di_0 nyid_4 kyi_9 yon_13 tan_17 ngas_21 'chad_26 ba_32 yin_35 no_39 
K04D0012_H0011:75a-38	// de skad ces bka' stsal pa dang /	de_3 skad_6 ces_11 bka'_15 stsal_20 ba_26 dang_29 
K04D0012_H0011:75a-39	bcom ldan 'das la lha rnams kyi dbang po brgya byin gyis 'di skad ces gsol to //	'joms_0 ldan_5 'da'_10 la_15 lha_18 rnams_22 kyi_28 dbang_32 po_38 brgya_41 byin_47 gyis_52 'di_57 skad_61 ces_66 gsol_70 to_75 
K04D0012_H0011:75b-0	bcom ldan @75b 'das; bdag gis kyang gang zhig sangs rgyas kyi tshul rgyun chad par ma gyur cig /	'joms_0 ldan_5 'das;_15 bdag_21 gis_26 kyang_30 gang_36 'jig_41 sangs_46 rgya_52 kyi_58 tshul_62 rgyun_68 'chad_74 ba_79 ma_83 gyur_86 cig_91 
K04D0012_H0011:75b-1	dam pa'i chos nub par ma gyur cig /	dam_0 ba_4 chos_9 nub_14 ba_18 ma_22 gyur_25 cig_30 
K04D0012_H0011:75b-2	ces dam pa'i chos yun ring du gnas par bgyi ba dang /	ces_0 dam_4 ba_8 chos_13 yun_18 ring_22 du_27 gnas_30 ba_35 bgyid_39 ba_44 dang_47 
K04D0012_H0011:75b-3	tshul dang ma bral bas byang chub sems dpa' sems	tshul_0 dang_6 ma_11 'bral_14 ba_19 byang_23 chub_29 sems_34 dpa'_39 sems_44 
K04D0012_H0011:75b-4	dpa' chen po rnams la phan gdags pa sgrub pa	dpa'_0 chen_5 po_10 rnams_13 la_19 phan_22 'dogs_27 ba_33 sgrub_36 ba_42 
K04D0012_H0011:75b-5	bgyis par 'gyur bar shes rab kyi pha rol tu	bgyid_0 ba_6 'gyur_10 ba_16 shes_20 rab_25 kyi_29 pha_33 rol_37 tu_41 
K04D0012_H0011:75b-6	phyin pa 'di bris nas glegs bam du chud par	phyin_0 ba_6 'di_9 'bri_13 nas_18 glegs_22 bam_28 du_32 chud_35 ba_40 
K04D0012_H0011:75b-7	bgyis te 'chang ngam bzhag la /	bgyid_0 te_6 'chang_9 ngam_16 'jog_21 la_27 
K04D0012_H0011:75b-8	shes rab kyi pha rol tu phyin pa de la me tog dang /	shes_0 rab_5 kyi_9 pha_13 rol_17 tu_21 phyin_24 ba_30 de_33 la_36 me_39 tog_42 dang_46 
K04D0012_H0011:75b-9	bdug pa dang /	bdug_0 ba_5 dang_8 
K04D0012_H0011:75b-10	'dri dang /	'bri_0 dang_5 
K04D0012_H0011:75b-11	phreng ba dang /	phreng_0 ba_7 dang_10 
